회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대
1010430528,정상회원,수지구-풍덕천동,여,65.0,미신청,.,normal,60대이상
1010465792,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대
1010515904,정상회원,분당구-수내동,남,37.0,미신청,.,normal,30대
1010573440,정상회원,서울 강남구-기타,여,36.0,미신청,.,normal,30대
1010803584,정상회원,수지구-동천동,여,70.0,미신청,.,normal,60대이상
1010820288,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1010955776,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대
1010970624,정상회원,수지구-동천동,여,70.0,미신청,.,normal,60대이상
1011000320,정상회원,수지구-동천동,여,62.0,미신청,.,normal,60대이상
1011035584,정상회원,수지구-풍덕천동,여,74.0,미신청,.,normal,60대이상
1011100544,정상회원,수지구-풍덕천동,여,38.0,미신청,.,normal,30대
1011139520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,40대
1011145088,정상회원,서울 송파구-기타,여,36.0,신청,수신,normal,30대
1011343680,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,40대
1011488448,정상회원,수지구-동천동,여,39.0,미신청,.,normal,30대
1011540416,정상회원,수지구-신봉동,여,40.0,미신청,.,normal,40대
1011553408,정상회원,수지구-풍덕천동,여,79.0,미신청,.,normal,60대이상
1011625792,정상회원,기흥구-기타,여,63.0,미신청,.,normal,60대이상
1011982144,정상회원,기흥구-언남동,여,41.0,미신청,.,normal,40대
1012026688,정상회원,수지구-신봉동,여,62.0,미신청,.,normal,60대이상
1012093504,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대
1012191872,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1012531520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,40대
1012615040,정상회원,수지구-동천동,여,72.0,미신청,.,normal,60대이상
1012713408,정상회원,분당구-중동,여,55.0,미신청,.,normal,50대
1012778368,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,40대
1012837760,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대
1012941696,정상회원,수지구-풍덕천동,여,51.0,미신청,.,normal,50대
101300480,정상회원,수지구-상현동,여,52.0,신청,.,normal,50대
1013004800,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대
1013056768,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40대
1013108736,정상회원,수지구-동천동,여,51.0,미신청,.,normal,50대
1013136576,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대
1013156992,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대
1013168128,정상회원,분당구-구미동,여,51.0,미신청,.,normal,50대
101319040,정상회원,수지구-성복동,여,67.0,미신청,.,normal,60대이상
1013446528,정상회원,수지구-상현동,여,40.0,미신청,.,normal,40대
1013457664,정상회원,수지구-상현동,여,70.0,미신청,.,normal,60대이상
1013507776,정상회원,수지구-상현동,남,79.0,미신청,.,normal,60대이상
1013658112,정상회원,수지구-동천동,여,37.0,미신청,.,normal,30대
1013669248,정상회원,수지구-죽전동,여,45.0,신청,.,normal,40대
1013685952,정상회원,수지구-상현동,여,43.0,미신청,.,normal,40대
1013791744,정상회원,수지구-풍덕천동,여,69.0,미신청,.,normal,60대이상
1013851136,정상회원,수지구-상현동,여,68.0,미신청,.,normal,60대이상
1013999616,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대
1014086848,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1014120256,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1014159232,정상회원,기타-기타,여,36.0,미신청,.,normal,30대
1014279872,정상회원,수지구-풍덕천동,여,54.0,미신청,.,normal,50대
1014539712,정상회원,수지구-풍덕천동,여,65.0,미신청,수신,normal,60대이상
1014729024,정상회원,수지구-동천동,여,70.0,미신청,.,normal,60대이상
1014857088,정상회원,수지구-신봉동,여,60.0,미신청,.,normal,60대이상
1014864512,정상회원,수지구-신봉동,여,78.0,미신청,.,normal,60대이상
1014870080,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,30대
1014884928,정상회원,수지구-풍덕천동,여,35.0,미신청,.,normal,30대
1014920192,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대
1014948032,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,60대이상
1014981440,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1015011136,정상회원,수지구-풍덕천동,여,29.0,신청,.,normal,20대이하
1015194880,정상회원,수지구-풍덕천동,여,62.0,미신청,.,normal,60대이상
1015235712,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,30대
1015246848,정상회원,수지구-풍덕천동,여,43.0,신청,.,normal,40대
1015321088,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대
1015356352,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대
1015358208,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대
1015449152,정상회원,기흥구-보정동,여,67.0,미신청,.,normal,60대이상
1015495552,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대
1015502976,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대
1015517824,정상회원,기타-기타,남,48.0,미신청,.,normal,40대
1015525248,정상회원,기타-기타,여,49.0,미신청,.,normal,40대
101554752,정상회원,기타-기타,여,42.0,미신청,.,normal,40대
1015562368,정상회원,수지구-동천동,여,54.0,미신청,.,normal,50대
1015614336,정상회원,기타-기타,여,40.0,미신청,.,normal,40대
1015683008,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,30대
1015762816,정상회원,분당구-삼평동,여,38.0,미신청,.,normal,30대
1015902016,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대
1015935424,정상회원,수지구-신봉동,여,36.0,미신청,.,normal,30대
1015959552,정상회원,수지구-동천동,여,73.0,미신청,.,normal,60대이상
1015985536,정상회원,수지구-상현동,여,61.0,미신청,.,normal,60대이상
1016044928,정상회원,수지구-신봉동,여,52.0,미신청,.,normal,50대
1016210112,정상회원,서울 강남구-기타,여,43.0,미신청,.,normal,40대
1016492224,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1016655552,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,40대
1016726080,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대
1016844864,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대
1016874560,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대
1017073152,정상회원,수원 영통구-기타,여,60.0,미신청,.,normal,60대이상
1017086144,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1017423936,정상회원,서울 강남구-기타,여,77.0,미신청,.,normal,60대이상
1017498176,정상회원,수지구-풍덕천동,여,53.0,미신청,.,normal,50대
1017553856,정상회원,수원 팔달구-기타,여,41.0,미신청,.,normal,40대
101760768,정상회원,수지구-상현동,여,64.0,신청,.,normal,60대이상
1017620672,정상회원,수지구-상현동,여,47.0,미신청,.,normal,40대
1017633664,정상회원,수지구-상현동,여,53.0,미신청,.,normal,50대
1017680064,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대
1017685632,정상회원,수지구-동천동,여,58.0,미신청,.,normal,50대
1017912064,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대
1017975168,정상회원,수지구-상현동,여,48.0,미신청,.,normal,40대
1018008576,정상회원,수지구-풍덕천동,남,51.0,미신청,.,normal,50대
1018218304,정상회원,기타-기타,여,63.0,미신청,.,normal,60대이상
1018381632,정상회원,수지구-상현동,여,43.0,미신청,.,normal,40대
1018557952,정상회원,기타-기타,여,45.0,미신청,.,normal,40대
1018583936,정상회원,수지구-상현동,남,44.0,미신청,.,normal,40대
1018615488,정상회원,수지구-신봉동,여,38.0,신청,.,normal,30대
1018630336,정상회원,수지구-신봉동,여,39.0,미신청,.,normal,30대
1018734272,탈퇴,수지구-동천동,여,51.0,미신청,.,normal,50대
1018997824,정상회원,수지구-동천동,여,41.0,미신청,.,normal,40대
1019151872,정상회원,수지구-동천동,여,42.0,미신청,수신,normal,40대
1019185280,정상회원,수지구-상현동,여,43.0,미신청,.,normal,40대
1019259520,정상회원,수지구-상현동,여,62.0,미신청,.,normal,60대이상
1019318912,정상회원,기흥구-마북동,여,40.0,미신청,.,normal,40대
1019435840,정상회원,수지구-동천동,여,58.0,미신청,.,normal,50대
1019446976,정상회원,수지구-상현동,여,47.0,미신청,.,normal,40대
101946368,정상회원,수지구-죽전동,여,46.0,미신청,.,normal,40대
1019582464,정상회원,수지구-죽전동,여,50.0,미신청,.,normal,50대
1019597312,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대
1019647424,정상회원,수지구-동천동,여,54.0,미신청,수신,VIP,50대
1019649280,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대
1019884992,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,40대
1019894272,정상회원,광주-오포읍,여,36.0,미신청,.,normal,30대
1020024192,정상회원,수지구-동천동,여,72.0,신청,.,normal,60대이상
1020070592,정상회원,기타-기타,여,42.0,미신청,.,normal,40대
1020172672,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대
1020189376,정상회원,수지구-신봉동,여,48.0,미신청,.,normal,40대
1020361984,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대
1020373120,정상회원,수지구-풍덕천동,여,45.0,미신청,.,normal,40대
1020384256,정상회원,기타-기타,여,40.0,미신청,.,normal,40대
1020462208,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대
1021475584,정상회원,기타-기타,여,57.0,미신청,.,normal,50대
1021718720,정상회원,기타-기타,여,59.0,미신청,.,normal,50대
1021731712,정상회원,기타-기타,여,56.0,미신청,.,normal,50대
102178368,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,40대
1021813376,정상회원,기타-기타,여,55.0,미신청,.,normal,50대
1022654144,정상회원,수지구-성복동,여,57.0,미신청,.,normal,50대
1023006784,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대
1023025344,정상회원,수지구-동천동,여,67.0,미신청,.,normal,60대이상
1023027200,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대
1023108864,정상회원,수지구-풍덕천동,여,36.0,미신청,수신,normal,30대
1023140416,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대
1023218368,정상회원,수지구-상현동,여,47.0,미신청,.,normal,40대
102328704,정상회원,기타-기타,남,44.0,미신청,.,normal,40대
1023609984,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대
1023613696,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대
1023877248,정상회원,서울 송파구-기타,여,35.0,미신청,.,normal,30대
1024036864,정상회원,수지구-동천동,여,60.0,미신청,.,normal,60대이상
1024111104,정상회원,수지구-상현동,여,49.0,미신청,.,normal,40대
1024185344,정상회원,수지구-상현동,여,64.0,미신청,.,normal,60대이상
1024207616,정상회원,기타-기타,여,57.0,미신청,.,normal,50대
1024281856,정상회원,수지구-동천동,여,39.0,신청,.,normal,30대
1024437760,정상회원,서울 송파구-기타,여,38.0,미신청,.,normal,30대
1024471168,정상회원,수지구-동천동,여,41.0,미신청,.,normal,40대
1024500864,정상회원,수지구-풍덕천동,여,45.0,미신청,수신,normal,40대
1024532416,정상회원,수지구-신봉동,여,43.0,미신청,.,normal,40대
1024565824,정상회원,수지구-동천동,여,57.0,미신청,.,normal,50대
1024695744,정상회원,분당구-구미동,여,36.0,미신청,.,normal,30대
1024703168,정상회원,기타-기타,여,36.0,미신청,.,normal,30대
1024706880,정상회원,수지구-풍덕천동,여,38.0,미신청,수신,normal,30대
1024710592,정상회원,수지구-성복동,여,47.0,미신청,.,normal,40대
1024729152,정상회원,수지구-동천동,여,74.0,신청,.,normal,60대이상
1024911040,정상회원,수지구-신봉동,여,43.0,미신청,수신,normal,40대
1025014976,정상회원,기타-기타,여,43.0,미신청,수신,normal,40대
1025100352,정상회원,기타-기타,여,42.0,미신청,.,normal,40대
1025156032,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대
1025189440,정상회원,수지구-상현동,여,53.0,미신청,.,normal,50대
1025295232,정상회원,수원 팔달구-기타,여,37.0,미신청,.,normal,30대
1025464128,정상회원,수지구-신봉동,여,74.0,미신청,.,normal,60대이상
1025506816,정상회원,수지구-성복동,여,58.0,미신청,.,normal,50대
102560704,정상회원,수지구-풍덕천동,여,52.0,미신청,.,normal,50대
1025699840,정상회원,수지구-신봉동,여,48.0,미신청,.,normal,40대
1025809344,정상회원,수지구-상현동,여,48.0,미신청,.,normal,40대
1025878016,정상회원,기타-기타,여,45.0,미신청,.,normal,40대
1026117440,정상회원,수지구-동천동,여,74.0,미신청,.,normal,60대이상
1026139712,정상회원,수지구-동천동,여,43.0,미신청,.,normal,40대
1026202816,정상회원,수지구-성복동,여,37.0,신청,.,normal,30대
1026275200,정상회원,수지구-동천동,여,54.0,미신청,.,normal,50대
1026351296,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대
1026403264,정상회원,수지구-신봉동,여,43.0,미신청,.,normal,40대
1026546176,정상회원,수원 영통구-기타,여,35.0,미신청,.,normal,30대
1026590720,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대
1026698368,정상회원,수지구-성복동,여,49.0,미신청,.,normal,40대
1026819008,정상회원,수지구-동천동,여,56.0,미신청,.,normal,50대
1026846848,정상회원,수지구-동천동,여,66.0,미신청,.,normal,60대이상
1027136384,정상회원,서울 강남구-기타,여,39.0,미신청,.,normal,30대
1027277440,정상회원,수지구-신봉동,여,44.0,미신청,.,normal,40대
1027535424,정상회원,수지구-동천동,여,43.0,미신청,.,normal,40대
1027546560,정상회원,수지구-풍덕천동,여,53.0,미신청,.,normal,50대
1027607808,정상회원,기타-기타,여,39.0,미신청,.,normal,30대
1027657920,정상회원,수지구-죽전동,여,49.0,미신청,.,normal,40대
1027696896,정상회원,수지구-성복동,여,41.0,미신청,.,normal,40대
1027758144,정상회원,수지구-동천동,여,54.0,미신청,.,normal,50대
1027806400,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40대
1027817536,정상회원,수지구-성복동,여,71.0,미신청,.,normal,60대이상
1027990144,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,40대
1027992000,정상회원,수지구-동천동,여,67.0,미신청,.,normal,60대이상
1028053248,정상회원,수지구-신봉동,여,44.0,미신청,.,normal,40대
1028092224,정상회원,수지구-동천동,여,39.0,미신청,수신,normal,30대
1028131200,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대
1028144192,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,30대
1028175744,정상회원,수지구-상현동,여,55.0,미신청,수신,normal,50대
1028244416,정상회원,기흥구-마북동,여,38.0,미신청,.,normal,30대
1028268544,정상회원,화성-기타,여,41.0,미신청,.,normal,40대
1028272256,정상회원,기타-기타,남,52.0,미신청,.,normal,50대
1028298240,정상회원,분당구-수내동,여,48.0,미신청,.,normal,40대
1028376192,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대
1028496832,정상회원,기흥구-보정동,여,35.0,미신청,.,normal,30대
1028782656,정상회원,수지구-상현동,남,40.0,미신청,.,normal,40대
1028825344,정상회원,수지구-풍덕천동,여,49.0,미신청,.,normal,40대
1028957120,정상회원,수지구-신봉동,여,55.0,미신청,.,normal,50대
1028960832,정상회원,수지구-동천동,여,55.0,미신청,.,normal,50대
1029005376,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대
1029083328,정상회원,분당구-정자동,여,33.0,미신청,.,normal,30대
102911488,정상회원,분당구-구미동,여,59.0,미신청,.,normal,50대
1029179840,정상회원,수지구-풍덕천동,여,55.0,미신청,.,normal,50대
1029203968,정상회원,기타-기타,여,42.0,미신청,.,normal,40대
1029320896,정상회원,수지구-신봉동,여,45.0,미신청,.,normal,40대
1029415552,정상회원,기타-기타,여,41.0,미신청,.,normal,40대
1029848000,정상회원,수지구-풍덕천동,여,55.0,미신청,.,normal,50대
1030087424,정상회원,기흥구-중동,여,57.0,미신청,.,normal,50대
103013568,정상회원,수지구-상현동,여,55.0,미신청,.,normal,50대
1030271168,정상회원,수지구-상현동,여,44.0,미신청,.,normal,40대
1030382528,정상회원,분당구-수내동,여,46.0,미신청,.,normal,40대
1030503168,정상회원,수지구-신봉동,여,50.0,신청,.,normal,50대
1030573696,정상회원,기타-기타,여,64.0,미신청,.,normal,60대이상
1030716608,정상회원,수지구-동천동,남,29.0,미신청,.,normal,20대이하
1030729600,정상회원,분당구-기타,여,47.0,미신청,.,normal,40대
1030818688,정상회원,수지구-동천동,여,44.0,미신청,.,normal,40대
1030965312,정상회원,수지구-상현동,여,59.0,신청,.,normal,50대
1031186176,정상회원,수지구-풍덕천동,여,51.0,신청,.,normal,50대
1031195456,정상회원,수지구-동천동,여,45.0,미신청,수신,normal,40대
1031245568,정상회원,수지구-상현동,남,52.0,미신청,.,normal,50대
1031767104,정상회원,수지구-성복동,여,40.0,미신청,.,normal,40대
1031806080,정상회원,중원구-금광동,여,57.0,미신청,.,normal,50대
1031863616,정상회원,수지구-상현동,여,55.0,미신청,.,normal,50대
1031948992,정상회원,수지구-동천동,여,44.0,미신청,.,normal,40대
1032097472,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대
1032179136,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,40대
1032255232,정상회원,분당구-정자동,여,45.0,미신청,.,normal,40대
1032466816,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대
1032552192,정상회원,수지구-동천동,여,59.0,미신청,.,normal,50대
1032606016,정상회원,기타-기타,여,41.0,미신청,.,normal,40대
1032641280,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대
1032734080,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대
1033040320,정상회원,기흥구-보정동,남,39.0,미신청,.,normal,30대
1033086720,정상회원,수지구-죽전동,여,37.0,미신청,.,normal,30대
1033149824,정상회원,수지구-성복동,여,40.0,신청,.,normal,40대
1033227776,정상회원,수지구-신봉동,여,62.0,미신청,.,normal,60대이상
1033379968,정상회원,수지구-풍덕천동,여,38.0,미신청,.,normal,30대
1033548864,정상회원,수지구-동천동,여,67.0,미신청,.,normal,60대이상
1033682496,정상회원,기타-기타,여,40.0,미신청,수신,normal,40대
1033853248,정상회원,수지구-상현동,여,44.0,미신청,.,normal,40대
1033962752,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대
1033999872,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대
1034508416,정상회원,수지구-풍덕천동,여,54.0,미신청,.,normal,50대
1034569664,정상회원,수지구-신봉동,여,66.0,미신청,.,normal,60대이상
1034619776,정상회원,기타-기타,여,36.0,신청,.,normal,30대
1034623488,정상회원,수지구-신봉동,여,40.0,미신청,.,normal,40대
