회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액
1002102656,정상회원,수지구-동천동,여,59.0,신청,.,normal,50대,494971.0
1002106368,정상회원,분당구-판교동,여,40.0,미신청,.,normal,40대,363546.0
1002115648,정상회원,수지구-풍덕천동,여,61.0,미신청,.,normal,60대이상,35416.0
1002182464,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,26993.0
100224000,정상회원,수지구-상현동,여,63.0,미신청,.,normal,60대이상,934712.0
100225856,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,40대,27185.0
1003019520,정상회원,기타-기타,여,72.0,미신청,.,normal,60대이상,80022.0
1003088192,정상회원,기타-기타,여,66.0,미신청,.,normal,60대이상,13209.0
1004585984,정상회원,수지구-신봉동,여,61.0,미신청,.,normal,60대이상,193547.0
1004617536,정상회원,수지구-죽전동,여,41.0,미신청,수신,normal,40대,27951.0
1004699200,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대,23930.0
1004825408,정상회원,수지구-상현동,여,40.0,미신청,.,normal,40대,1209341.0
1004836544,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대,317985.0
1005029568,정상회원,수지구-성복동,여,55.0,미신청,.,normal,50대,150951.0
1005059264,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대,1471084.0
1005142784,정상회원,수지구-동천동,여,65.0,미신청,.,normal,60대이상,220915.0
1005174336,정상회원,수지구-성복동,여,37.0,미신청,.,normal,30대,125968.0
1005230016,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,40대,24275.0
1005389632,정상회원,수지구-동천동,여,54.0,신청,.,normal,50대,522272.0
1005393344,정상회원,수지구-죽전동,여,42.0,미신청,.,normal,40대,25270.0
1005430464,정상회원,수지구-동천동,여,57.0,미신청,.,normal,50대,19144.0
100548800,정상회원,수지구-동천동,여,53.0,미신청,.,normal,50대,98209.0
1005500992,정상회원,수지구-동천동,여,37.0,미신청,.,normal,30대,63558.0
1005616064,정상회원,수지구-상현동,여,73.0,미신청,.,normal,60대이상,26705.0
1005669888,정상회원,수지구-상현동,여,63.0,미신청,수신,normal,60대이상,57433.0
1005729280,정상회원,분당구-구미동,남,50.0,미신청,.,normal,50대,36564.0
1005732992,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,40대,62218.0
1005924160,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대,191635.0
1005942720,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대,29865.0
1005976128,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대,149132.0
1005983552,정상회원,기흥구-동백동,여,43.0,미신청,.,normal,40대,6318.0
1006050368,정상회원,수지구-동천동,여,66.0,미신청,.,normal,60대이상,67003.0
1006132032,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,60대이상,39820.0
1006167296,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대,496730.0
1006213696,정상회원,수원 영통구-기타,여,45.0,미신청,.,normal,40대,393889.0
1006302784,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대,54178.0
1006313920,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대,8998.0
1006319488,정상회원,수지구-풍덕천동,여,46.0,신청,.,normal,40대,377240.0
1006334336,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대,53316.0
1006349184,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40대,123771.0
1006436416,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대,15507.0
1006532928,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,30대,5552.0
1006614592,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대,411124.0
1006670272,정상회원,기타-기타,여,72.0,미신청,.,normal,60대이상,170191.0
1006712960,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대,117817.0
1006891136,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대,261986.0
1006917120,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,60대이상,456491.0
1006998784,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,100889.0
1007015488,정상회원,기흥구-보정동,여,54.0,신청,.,normal,50대,551542.0
1007212224,정상회원,수지구-풍덕천동,여,34.0,미신청,.,normal,30대,1193969.0
1007219648,정상회원,수지구-성복동,여,51.0,미신청,.,normal,50대,5935.0
1007247488,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대,113238.0
1007314304,정상회원,수지구-동천동,여,38.0,신청,.,normal,30대,397528.0
1007576000,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대,10051.0
1007739328,정상회원,수지구-동천동,여,56.0,미신청,.,normal,50대,23739.0
1007817280,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,40대,1533023.0
1007820992,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,40대,804440.0
1007830272,정상회원,수지구-신봉동,여,56.0,미신청,.,normal,50대,123000.0
1007880384,정상회원,수지구-상현동,여,41.0,미신청,.,normal,40대,234326.0
1008056704,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대,66142.0
1008080832,정상회원,수지구-동천동,여,63.0,미신청,.,normal,60대이상,29290.0
1008082688,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대,108356.0
1008116096,정상회원,수지구-상현동,여,62.0,미신청,.,normal,60대이상,97350.0
1008201472,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,40대,9572.0
1008335104,정상회원,분당구-구미동,여,51.0,미신청,.,normal,50대,67005.0
1008370368,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대,91608.0
1008511424,정상회원,수지구-동천동,여,46.0,미신청,수신,normal,40대,259594.0
1008613504,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대,48818.0
1008698880,정상회원,수원 영통구-기타,여,40.0,미신청,.,normal,40대,32641.0
1008719296,정상회원,수원 영통구-기타,여,44.0,미신청,.,normal,40대,24122.0
1008748992,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대,10912.0
1008800960,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대,55996.0
1008955008,정상회원,수지구-성복동,여,42.0,신청,.,normal,40대,479273.0
1009040384,정상회원,수지구-동천동,여,60.0,미신청,.,normal,60대이상,454920.0
1009066368,정상회원,기흥구-보정동,여,52.0,미신청,.,normal,50대,291471.0
100932992,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대,247534.0
1009355904,정상회원,수지구-신봉동,여,37.0,미신청,수신,normal,30대,14741.0
1009381888,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,40대,7083.0
1009406016,정상회원,기흥구-청덕동,남,51.0,미신청,.,normal,50대,38958.0
1009480256,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대,45754.0
1009495104,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대,240066.0
1009508096,정상회원,수지구-동천동,여,51.0,미신청,.,normal,50대,7370.0
100955264,정상회원,수지구-풍덕천동,여,85.0,미신청,.,normal,60대이상,113429.0
1009565632,정상회원,서울 강남구-기타,여,67.0,미신청,.,normal,60대이상,195271.0
1009641728,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,40대,142527.0
1009671424,정상회원,기흥구-보정동,여,38.0,미신청,.,normal,30대,14741.0
1009959104,정상회원,수지구-동천동,여,30.0,미신청,.,normal,30대,484060.0
1010090880,정상회원,수지구-풍덕천동,여,42.0,미신청,수신,normal,40대,646805.0
101010944,정상회원,수원 팔달구-기타,여,69.0,미신청,.,normal,60대이상,7658.0
1010144704,정상회원,수지구-신봉동,남,77.0,미신청,.,normal,60대이상,457930.0
1010334016,정상회원,기타-기타,여,61.0,미신청,.,normal,60대이상,15028.0
101035072,정상회원,수지구-성복동,여,46.0,미신청,.,normal,40대,182440.0
1010391552,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,40대,819578.0
1010430528,정상회원,수지구-풍덕천동,여,65.0,미신청,.,normal,60대이상,22973.0
1010465792,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대,30631.0
1010515904,정상회원,분당구-수내동,남,37.0,미신청,.,normal,30대,81937.0
1010573440,정상회원,서울 강남구-기타,여,36.0,미신청,.,normal,30대,9381.0
1010803584,정상회원,수지구-동천동,여,70.0,미신청,.,normal,60대이상,25653.0
1010820288,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,97253.0
1010955776,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대,155451.0
1010970624,정상회원,수지구-동천동,여,70.0,미신청,.,normal,60대이상,795149.0
1011000320,정상회원,수지구-동천동,여,62.0,미신청,.,normal,60대이상,2770064.0
1011035584,정상회원,수지구-풍덕천동,여,74.0,미신청,.,normal,60대이상,113142.0
1011100544,정상회원,수지구-풍덕천동,여,38.0,미신청,.,normal,30대,31013.0
1011139520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,40대,302092.0
1011145088,정상회원,서울 송파구-기타,여,36.0,신청,수신,normal,30대,587382.0
1011343680,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,40대,167131.0
1011488448,정상회원,수지구-동천동,여,39.0,미신청,.,normal,30대,55136.0
1011540416,정상회원,수지구-신봉동,여,40.0,미신청,.,normal,40대,229344.0
1011553408,정상회원,수지구-풍덕천동,여,79.0,미신청,.,normal,60대이상,286205.0
1011625792,정상회원,기흥구-기타,여,63.0,미신청,.,normal,60대이상,10529.0
1011982144,정상회원,기흥구-언남동,여,41.0,미신청,.,normal,40대,12827.0
1012026688,정상회원,수지구-신봉동,여,62.0,미신청,.,normal,60대이상,133819.0
1012093504,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대,324321.0
1012191872,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,13133.0
1012531520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,40대,120704.0
1012615040,정상회원,수지구-동천동,여,72.0,미신청,.,normal,60대이상,11391.0
1012713408,정상회원,분당구-중동,여,55.0,미신청,.,normal,50대,2393.0
1012778368,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,40대,6126.0
1012837760,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대,7849.0
1012941696,정상회원,수지구-풍덕천동,여,51.0,미신청,.,normal,50대,375168.0
101300480,정상회원,수지구-상현동,여,52.0,신청,.,normal,50대,472093.0
1013004800,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대,26323.0
1013056768,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40대,275580.0
1013108736,정상회원,수지구-동천동,여,51.0,미신청,.,normal,50대,90935.0
1013136576,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대,197485.0
1013156992,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대,20293.0
1013168128,정상회원,분당구-구미동,여,51.0,미신청,.,normal,50대,182444.0
101319040,정상회원,수지구-성복동,여,67.0,미신청,.,normal,60대이상,522251.0
1013446528,정상회원,수지구-상현동,여,40.0,미신청,.,normal,40대,357612.0
1013457664,정상회원,수지구-상현동,여,70.0,미신청,.,normal,60대이상,32449.0
1013507776,정상회원,수지구-상현동,남,79.0,미신청,.,normal,60대이상,16272.0
1013658112,정상회원,수지구-동천동,여,37.0,미신청,.,normal,30대,129511.0
1013669248,정상회원,수지구-죽전동,여,45.0,신청,.,normal,40대,555884.0
1013685952,정상회원,수지구-상현동,여,43.0,미신청,.,normal,40대,62697.0
1013791744,정상회원,수지구-풍덕천동,여,69.0,미신청,.,normal,60대이상,89496.0
1013851136,정상회원,수지구-상현동,여,68.0,미신청,.,normal,60대이상,26515.0
1013999616,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대,8423.0
1014086848,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,180683.0
1014120256,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,273435.0
1014159232,정상회원,기타-기타,여,36.0,미신청,.,normal,30대,6797.0
1014279872,정상회원,수지구-풍덕천동,여,54.0,미신청,.,normal,50대,16464.0
1014539712,정상회원,수지구-풍덕천동,여,65.0,미신청,수신,normal,60대이상,156983.0
1014729024,정상회원,수지구-동천동,여,70.0,미신청,.,normal,60대이상,128555.0
1014857088,정상회원,수지구-신봉동,여,60.0,미신청,.,normal,60대이상,197758.0
1014864512,정상회원,수지구-신봉동,여,78.0,미신청,.,normal,60대이상,78397.0
1014870080,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,30대,12827.0
1014884928,정상회원,수지구-풍덕천동,여,35.0,미신청,.,normal,30대,37523.0
1014920192,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대,173849.0
1014948032,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,60대이상,31109.0
1014981440,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,80790.0
1015011136,정상회원,수지구-풍덕천동,여,29.0,신청,.,normal,20대이하,596776.0
1015194880,정상회원,수지구-풍덕천동,여,62.0,미신청,.,normal,60대이상,57241.0
1015235712,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,30대,39054.0
1015246848,정상회원,수지구-풍덕천동,여,43.0,신청,.,normal,40대,531744.0
1015321088,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대,49009.0
1015356352,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대,2489.0
1015358208,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대,208480.0
1015449152,정상회원,기흥구-보정동,여,67.0,미신청,.,normal,60대이상,146645.0
1015495552,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대,81555.0
1015502976,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대,135349.0
1015517824,정상회원,기타-기타,남,48.0,미신청,.,normal,40대,14550.0
1015525248,정상회원,기타-기타,여,49.0,미신청,.,normal,40대,3542.0
101554752,정상회원,기타-기타,여,42.0,미신청,.,normal,40대,23356.0
1015562368,정상회원,수지구-동천동,여,54.0,미신청,.,normal,50대,14167.0
1015614336,정상회원,기타-기타,여,40.0,미신청,.,normal,40대,36374.0
1015683008,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,30대,101559.0
1015762816,정상회원,분당구-삼평동,여,38.0,미신청,.,normal,30대,81075.0
1015902016,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대,59251.0
1015935424,정상회원,수지구-신봉동,여,36.0,미신청,.,normal,30대,83085.0
1015959552,정상회원,수지구-동천동,여,73.0,미신청,.,normal,60대이상,4977.0
1015985536,정상회원,수지구-상현동,여,61.0,미신청,.,normal,60대이상,47764.0
1016044928,정상회원,수지구-신봉동,여,52.0,미신청,.,normal,50대,29482.0
1016210112,정상회원,서울 강남구-기타,여,43.0,미신청,.,normal,40대,132312.0
1016492224,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,246815.0
1016655552,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,40대,396849.0
1016726080,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대,414472.0
1016844864,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대,14166.0
1016874560,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대,5743.0
1017073152,정상회원,수원 영통구-기타,여,60.0,미신청,.,normal,60대이상,187824.0
1017086144,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대,1260664.0
1017423936,정상회원,서울 강남구-기타,여,77.0,미신청,.,normal,60대이상,11103.0
1017498176,정상회원,수지구-풍덕천동,여,53.0,미신청,.,normal,50대,22782.0
1017553856,정상회원,수원 팔달구-기타,여,41.0,미신청,.,normal,40대,16464.0
101760768,정상회원,수지구-상현동,여,64.0,신청,.,normal,60대이상,470662.0
1017620672,정상회원,수지구-상현동,여,47.0,미신청,.,normal,40대,60017.0
1017633664,정상회원,수지구-상현동,여,53.0,미신청,.,normal,50대,178519.0
1017680064,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대,3829.0
1017685632,정상회원,수지구-동천동,여,58.0,미신청,.,normal,50대,66622.0
1017912064,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대,932767.0
1017975168,정상회원,수지구-상현동,여,48.0,미신청,.,normal,40대,12826.0
1018008576,정상회원,수지구-풍덕천동,남,51.0,미신청,.,normal,50대,93137.0
1018218304,정상회원,기타-기타,여,63.0,미신청,.,normal,60대이상,208768.0
1018381632,정상회원,수지구-상현동,여,43.0,미신청,.,normal,40대,49506.0
1018557952,정상회원,기타-기타,여,45.0,미신청,.,normal,40대,10912.0
1018583936,정상회원,수지구-상현동,남,44.0,미신청,.,normal,40대,42882.0
1018615488,정상회원,수지구-신봉동,여,38.0,신청,.,normal,30대,608207.0
1018630336,정상회원,수지구-신봉동,여,39.0,미신청,.,normal,30대,34268.0
1018734272,탈퇴,수지구-동천동,여,51.0,미신청,.,normal,50대,19527.0
1018997824,정상회원,수지구-동천동,여,41.0,미신청,.,normal,40대,75524.0
1019151872,정상회원,수지구-동천동,여,42.0,미신청,수신,normal,40대,1954777.0
1019185280,정상회원,수지구-상현동,여,43.0,미신청,.,normal,40대,107014.0
1019259520,정상회원,수지구-상현동,여,62.0,미신청,.,normal,60대이상,26036.0
1019318912,정상회원,기흥구-마북동,여,40.0,미신청,.,normal,40대,209534.0
1019435840,정상회원,수지구-동천동,여,58.0,미신청,.,normal,50대,286932.0
1019446976,정상회원,수지구-상현동,여,47.0,미신청,.,normal,40대,216138.0
101946368,정상회원,수지구-죽전동,여,46.0,미신청,.,normal,40대,26802.0
1019582464,정상회원,수지구-죽전동,여,50.0,미신청,.,normal,50대,3159.0
1019597312,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대,383363.0
1019647424,정상회원,수지구-동천동,여,54.0,미신청,수신,VIP,50대,3027770.0
1019649280,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대,7179.0
1019884992,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,40대,66525.0
1019894272,정상회원,광주-오포읍,여,36.0,미신청,.,normal,30대,181486.0
1020024192,정상회원,수지구-동천동,여,72.0,신청,.,normal,60대이상,635110.0
1020070592,정상회원,기타-기타,여,42.0,미신청,.,normal,40대,44987.0
1020172672,정상회원,수지구-동천동,여,48.0,미신청,.,normal,40대,122714.0
1020189376,정상회원,수지구-신봉동,여,48.0,미신청,.,normal,40대,35800.0
1020361984,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대,248776.0
1020373120,정상회원,수지구-풍덕천동,여,45.0,미신청,.,normal,40대,326407.0
1020384256,정상회원,기타-기타,여,40.0,미신청,.,normal,40대,378864.0
1020462208,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대,52263.0
1021475584,정상회원,기타-기타,여,57.0,미신청,.,normal,50대,38288.0
1021718720,정상회원,기타-기타,여,59.0,미신청,.,normal,50대,8806.0
1021731712,정상회원,기타-기타,여,56.0,미신청,.,normal,50대,10338.0
102178368,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,40대,7370.0
1021813376,정상회원,기타-기타,여,55.0,미신청,.,normal,50대,10721.0
1022654144,정상회원,수지구-성복동,여,57.0,미신청,.,normal,50대,43840.0
1023006784,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대,8423.0
1023025344,정상회원,수지구-동천동,여,67.0,미신청,.,normal,60대이상,43074.0
1023027200,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대,26036.0
1023108864,정상회원,수지구-풍덕천동,여,36.0,미신청,수신,normal,30대,555131.0
1023140416,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대,24696.0
1023218368,정상회원,수지구-상현동,여,47.0,미신청,.,normal,40대,51498.0
102328704,정상회원,기타-기타,남,44.0,미신청,.,normal,40대,47860.0
1023609984,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대,9955.0
1023613696,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대,107684.0
1023877248,정상회원,서울 송파구-기타,여,35.0,미신청,.,normal,30대,3829.0
1024036864,정상회원,수지구-동천동,여,60.0,미신청,.,normal,60대이상,115248.0
1024111104,정상회원,수지구-상현동,여,49.0,미신청,.,normal,40대,12444.0
1024185344,정상회원,수지구-상현동,여,64.0,미신청,.,normal,60대이상,26036.0
1024207616,정상회원,기타-기타,여,57.0,미신청,.,normal,50대,135542.0
1024281856,정상회원,수지구-동천동,여,39.0,신청,.,normal,30대,636832.0
1024437760,정상회원,서울 송파구-기타,여,38.0,미신청,.,normal,30대,79256.0
1024471168,정상회원,수지구-동천동,여,41.0,미신청,.,normal,40대,5360.0
1024500864,정상회원,수지구-풍덕천동,여,45.0,미신청,수신,normal,40대,1744182.0
1024532416,정상회원,수지구-신봉동,여,43.0,미신청,.,normal,40대,175838.0
1024565824,정상회원,수지구-동천동,여,57.0,미신청,.,normal,50대,14070.0
1024695744,정상회원,분당구-구미동,여,36.0,미신청,.,normal,30대,45084.0
1024703168,정상회원,기타-기타,여,36.0,미신청,.,normal,30대,69875.0
1024706880,정상회원,수지구-풍덕천동,여,38.0,미신청,수신,normal,30대,874657.0
1024710592,정상회원,수지구-성복동,여,47.0,미신청,.,normal,40대,11486.0
1024729152,정상회원,수지구-동천동,여,74.0,신청,.,normal,60대이상,415620.0
1024911040,정상회원,수지구-신봉동,여,43.0,미신청,수신,normal,40대,9572.0
1025014976,정상회원,기타-기타,여,43.0,미신청,수신,normal,40대,6126.0
1025100352,정상회원,기타-기타,여,42.0,미신청,.,normal,40대,18379.0
1025156032,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대,143581.0
1025189440,정상회원,수지구-상현동,여,53.0,미신청,.,normal,50대,129797.0
1025295232,정상회원,수원 팔달구-기타,여,37.0,미신청,.,normal,30대,35225.0
1025464128,정상회원,수지구-신봉동,여,74.0,미신청,.,normal,60대이상,404804.0
1025506816,정상회원,수지구-성복동,여,58.0,미신청,.,normal,50대,83073.0
102560704,정상회원,수지구-풍덕천동,여,52.0,미신청,.,normal,50대,265817.0
1025699840,정상회원,수지구-신봉동,여,48.0,미신청,.,normal,40대,10338.0
1025809344,정상회원,수지구-상현동,여,48.0,미신청,.,normal,40대,31780.0
1025878016,정상회원,기타-기타,여,45.0,미신청,.,normal,40대,33119.0
1026117440,정상회원,수지구-동천동,여,74.0,미신청,.,normal,60대이상,24696.0
1026139712,정상회원,수지구-동천동,여,43.0,미신청,.,normal,40대,21442.0
1026202816,정상회원,수지구-성복동,여,37.0,신청,.,normal,30대,466033.0
1026275200,정상회원,수지구-동천동,여,54.0,미신청,.,normal,50대,57432.0
1026351296,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대,11391.0
1026403264,정상회원,수지구-신봉동,여,43.0,미신청,.,normal,40대,139369.0
1026546176,정상회원,수원 영통구-기타,여,35.0,미신청,.,normal,30대,414470.0
1026590720,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대,45138.0
1026698368,정상회원,수지구-성복동,여,49.0,미신청,.,normal,40대,20006.0
1026819008,정상회원,수지구-동천동,여,56.0,미신청,.,normal,50대,71025.0
1026846848,정상회원,수지구-동천동,여,66.0,미신청,.,normal,60대이상,223795.0
1027136384,정상회원,서울 강남구-기타,여,39.0,미신청,.,normal,30대,98591.0
1027277440,정상회원,수지구-신봉동,여,44.0,미신청,.,normal,40대,23930.0
1027535424,정상회원,수지구-동천동,여,43.0,미신청,.,normal,40대,30056.0
1027546560,정상회원,수지구-풍덕천동,여,53.0,미신청,.,normal,50대,10146.0
1027607808,정상회원,기타-기타,여,39.0,미신청,.,normal,30대,65090.0
1027657920,정상회원,수지구-죽전동,여,49.0,미신청,.,normal,40대,288978.0
1027696896,정상회원,수지구-성복동,여,41.0,미신청,.,normal,40대,34652.0
1027758144,정상회원,수지구-동천동,여,54.0,미신청,.,normal,50대,56283.0
1027806400,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40대,53508.0
1027817536,정상회원,수지구-성복동,여,71.0,미신청,.,normal,60대이상,95241.0
1027990144,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,40대,101793.0
1027992000,정상회원,수지구-동천동,여,67.0,미신청,.,normal,60대이상,100698.0
1028053248,정상회원,수지구-신봉동,여,44.0,미신청,.,normal,40대,63559.0
1028092224,정상회원,수지구-동천동,여,39.0,미신청,수신,normal,30대,2612732.0
1028131200,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대,216905.0
1028144192,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,30대,23452.0
1028175744,정상회원,수지구-상현동,여,55.0,미신청,수신,normal,50대,965050.0
1028244416,정상회원,기흥구-마북동,여,38.0,미신청,.,normal,30대,158895.0
1028268544,정상회원,화성-기타,여,41.0,미신청,.,normal,40대,179284.0
1028272256,정상회원,기타-기타,남,52.0,미신청,.,normal,50대,114635.0
1028298240,정상회원,분당구-수내동,여,48.0,미신청,.,normal,40대,2680.0
1028376192,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대,35417.0
1028496832,정상회원,기흥구-보정동,여,35.0,미신청,.,normal,30대,52646.0
1028782656,정상회원,수지구-상현동,남,40.0,미신청,.,normal,40대,315818.0
1028825344,정상회원,수지구-풍덕천동,여,49.0,미신청,.,normal,40대,106634.0
1028957120,정상회원,수지구-신봉동,여,55.0,미신청,.,normal,50대,193068.0
1028960832,정상회원,수지구-동천동,여,55.0,미신청,.,normal,50대,92563.0
1029005376,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대,256245.0
